,mean_speed,cum_variance,cum_departed
16,18.310635,0.000000,773
17,18.447380,0.004675,814
18,18.219787,0.008750,861
19,18.589828,0.019620,917
20,18.356614,0.015895,978
21,17.995431,0.034308,1036
22,18.285830,0.029550,1079
23,18.118388,0.030087,1141
24,18.207263,0.027428,1188
25,17.970378,0.033382,1246
26,18.317289,0.030720,1296
27,18.221630,0.028252,1359
28,18.369326,0.027033,1415
29,18.306588,0.025232,1460
30,18.528235,0.027847,1492

