,mean_speed,variance,cum_variance,departed
1,18.486577,0.071138,0.000000,2938
2,18.471664,0.031142,0.000056,2937
3,18.463355,0.035943,0.000092,2934
4,18.486973,0.046053,0.000101,2935
5,18.468062,0.036427,0.000094,2938
