,mean_speed,variance,cum_variance,departed
1,18.360475,0.054922,0.000000,2937
2,18.446123,0.069878,0.001834,2936
3,18.413998,0.069517,0.001248,2936
4,18.502558,0.072468,0.002653,2937
5,18.499426,0.044131,0.002876,2936
