mean_speed,variance,departed
18.308746584,0.0646083345193,2940
18.2791475788,0.0712402110103,2940
18.3644403039,0.0331910074143,2940
18.3121283957,0.0553193590217,2939
18.360842482,0.0609333601387,2940
18.3341987993,0.0430135724189,2940
18.3749993116,0.0368341149097,2939
18.3744604915,0.0637216259133,2939
18.3826781153,0.0531190468189,2940
18.3273313255,0.0797905973976,2940
18.2737586566,0.0997941458945,2940
18.2615328563,0.0537884976461,2940
18.2995084065,0.0712769770733,2939
18.2803338107,0.03310754406,2940
18.1788952449,0.0549351781177,2940
18.4176197133,0.0581016662377,2939
18.2274862918,0.0458664603115,2940
18.3208322304,0.0627388616724,2939
18.3078554452,0.10759807715,2940
18.2545690627,0.0272577701436,2939
18.2767673402,0.0502287372344,2940
18.2219608932,0.0420733328704,2939
18.1851352819,0.0495222734936,2940
18.3741165728,0.0391879784151,2940
18.4164420308,0.0634518587679,2940
18.3411028939,0.0600181196475,2940
18.2364138805,0.0581283801235,2940
18.2670126797,0.0497717231298,2940
18.3151032749,0.0714921053905,2940
18.3938520657,0.091908393392,2937
18.3310843868,0.0893922810215,2940
18.3132228257,0.0722834625637,2939
18.3348655614,0.0192403246347,2939
18.292714065,0.0882876767275,2939
18.2338917229,0.0397756632991,2940
18.3433469962,0.0376332255545,2940
18.4459322321,0.0672623421475,2939
18.2324330168,0.0400703999084,2940
18.2705426943,0.0540716002001,2938
18.3696287166,0.0413912563028,2938
18.3983488205,0.0329744407811,2940
18.2737205055,0.055386330252,2938
18.3248128442,0.0613029966106,2940
18.4024148185,0.0423822893147,2940
18.189629362,0.0752028374644,2940
18.3892878189,0.0662537234793,2940
18.2463300983,0.0736125127735,2940
18.2739897918,0.0562147062522,2940
18.1825755062,0.0908840774279,2938
18.2888094615,0.0634015794175,2939
18.3235938342,0.108966360533,2940
18.3427948646,0.0501830722536,2940
18.2729381411,0.0705941235757,2940
18.3107701209,0.0394577316989,2939
18.4025351542,0.143049709641,2940
18.2895371113,0.0767446401935,2940
18.3814422838,0.0402509308379,2937
18.2882808473,0.0494008813605,2940
18.3840588571,0.0406390506912,2938
18.376258587,0.0716895829215,2938
18.218984429,0.044143718501,2940
18.3057650285,0.0888017210004,2939
18.2559673879,0.0918190040767,2939
18.2357522264,0.0653965198525,2940
18.2661040024,0.0802015365934,2939
18.2935632747,0.0678325961617,2940
18.3526028037,0.0526643946183,2940
18.3666900549,0.053502553935,2940
18.3897722616,0.0642427771798,2940
18.4095789345,0.0596906487298,2938
18.3498712472,0.0349981763848,2940
18.1775174222,0.0421499152296,2940
18.2477315233,0.0674749084227,2940
18.3086421831,0.066912233592,2940
18.3467898539,0.0732775480232,2940
18.3898628395,0.0645011826887,2940
18.2989254844,0.0658665122899,2940
18.3371678993,0.0577573560289,2940
18.2840618576,0.0900947516139,2939
18.3519791266,0.0422371394753,2939
18.2722728621,0.0740706467734,2940
18.3163014756,0.064678833434,2940
18.3500289566,0.0666698843454,2940
18.2804624014,0.107456826006,2940
18.3220413002,0.086021971231,2940
18.3982109075,0.0452690219364,2939
18.3380172785,0.0601826316524,2940
18.4446647209,0.0363313971215,2940
18.2525110085,0.0571655225047,2939
18.2523082957,0.045552893219,2939
18.2908739915,0.0507482646505,2939
18.4174903337,0.058404367368,2940
18.4906597725,0.0432273092397,2940
18.2554144326,0.0691162084165,2940
