mean_speed,variance,departed
18.4673185624,0.046831076585,2938
18.3363005682,0.0730484122606,2940
18.2492515568,0.153300200145,2938
18.3141652383,0.0591467429757,2939
18.3924630577,0.0625851293771,2939
18.2521293244,0.0949335978403,2938
18.4066839163,0.0590168914722,2939
18.294949239,0.0928660530167,2940
18.3219294163,0.043293719922,2940
18.2865652584,0.0618776974963,2939
18.2404888555,0.0871892685056,2940
18.4309960753,0.07084019171,2940
18.2507061747,0.0867395156781,2940
18.3036130393,0.0539978026365,2940
18.2468803231,0.0724642064861,2940
18.2199247688,0.118343812932,2940
18.2525160404,0.0652210735725,2940
18.220814785,0.0826485525742,2938
18.2674876674,0.0526340293973,2940
18.2534001528,0.0734586575865,2940
18.266749248,0.0680670823786,2940
18.1986402862,0.0566605218679,2939
18.3665153036,0.134258041347,2940
18.389534251,0.0350433649106,2939
18.2876617127,0.0382440760421,2940
18.3096153119,0.0823819602891,2940
18.3187383243,0.0505861133857,2940
18.29506322,0.0454468914357,2939
18.3650896577,0.0501962415266,2940
18.2234308621,0.0816925630894,2940
18.3105428742,0.056244743642,2940
18.2777274856,0.0986960234592,2940
18.3178640614,0.0935346502305,2940
18.2535440854,0.0626831321555,2939
18.3202757071,0.0599176595213,2940
18.2484893693,0.0397259588398,2939
18.3636762743,0.0683041280089,2940
18.1598281834,0.0668936885207,2940
18.3099240694,0.0503699463186,2940
18.3006276192,0.0587087694397,2940
18.2932835643,0.104680397274,2940
18.257054021,0.116943930464,2940
18.2429692171,0.0971607625484,2940
18.2514662287,0.107253333424,2940
18.2414429859,0.0562274167075,2940
18.2214017603,0.0595888413075,2940
18.3854299974,0.0818675961538,2939
18.2863630646,0.0655864534447,2940
18.3871182279,0.0513902326954,2939
18.3859695858,0.0366963722853,2940
18.3229481447,0.0625081065306,2940
18.3348212597,0.0702666721461,2940
18.318141922,0.0567279677715,2939
18.3267231261,0.0859101391472,2939
18.3046922994,0.0735350790364,2940
18.2753221746,0.0893572338617,2940
18.324853961,0.075604419109,2939
18.3429622563,0.0428345759619,2940
18.1981095523,0.0584515085709,2940
18.3623369006,0.0523795009058,2940
18.3507544604,0.0939862680598,2940
18.2618656541,0.0662661392642,2940
18.2827064689,0.101505472054,2938
18.335994189,0.0504078568641,2940
18.2616687837,0.0831377316664,2940
18.2453651891,0.0670354400939,2940
18.201829656,0.125267147173,2939
18.2889477225,0.060503884083,2940
18.2957377249,0.0601048902167,2940
18.2901182997,0.0717227830229,2940
18.1496135015,0.0864129537746,2940
18.36726448,0.0762401488296,2938
18.3864021697,0.0459403187853,2940
18.3332611622,0.051048014193,2940
18.2260581542,0.0470801937604,2940
18.3145106225,0.0685864163247,2940
18.3842833723,0.0649024884334,2940
18.2850016478,0.0938468395128,2938
18.2678370328,0.0522529339827,2939
18.3489340988,0.0789989666906,2939
18.3563859203,0.0590281323216,2940
18.2194289847,0.0674440272316,2940
