,mean_speed,mean_accel,variance,cum_variance,departed
1,18.4217468183788,-0.0037790814018064107,0.09954504679111097,0.0,2960
2,18.34270593510247,-0.005834855330406868,0.05481320202943353,0.0015618653072756528,2959
3,18.423366433686947,0.005110599228500017,0.0474572052704983,0.001417355601638407,2960
4,18.46877651731505,-0.0006999037336218486,0.052253907919255466,0.0020577412744568896,2961
5,18.466500803956986,0.005363544355013566,0.04572843366503517,0.0020847080776412313,2960
6,18.388271951354426,0.0061567890952599225,0.032595489136803386,0.0019207469919614742,2959
7,18.39964599933276,-0.0023904780544663257,0.0623350513599555,0.0016901659228342211,2959
8,18.399446057950534,-0.00086556723771966,0.041257605500115216,0.0015083598788000387,2959
9,18.506970686073412,0.0016229455532483156,0.03570329722376893,0.002197985788187255,2960
10,18.379020029753796,0.0032730419511047566,0.04830515944664757,0.002161564789909348,2959
11,18.394244152921765,0.00041141178912954994,0.07350727742896127,0.0020183819822047204,2959
12,18.285843364432775,-0.010818477781893512,0.03620579292101611,0.00317097017656357,2961
13,18.388998856979047,-0.01327390481479276,0.044209329323179454,0.0029484962040507347,2960
14,18.385843484008426,-0.01729189549140437,0.03946524511598109,0.0027623345209038482,2960
15,18.427433516586472,-0.006934732448579915,0.06026564364613796,0.002613315838284129,2960
16,18.41210607409575,-0.01060139979190011,0.02801123438121228,0.0024527343821655304,2961
17,18.36555339188934,0.0007219634056902026,0.07645643634133835,0.0023976101445107455,2960
18,18.43766901450479,0.010330992165593286,0.06105568023439302,0.0023263083180279356,2961
19,18.447407032608574,0.0050933318553463775,0.03672660399660647,0.00229256903514516,2959
20,18.404472718552697,-0.004610283987311149,0.06035528733343263,0.002178361634916931,2961
